factor,starlink_position,amazon_leo_position,weight_rationale
brand_familiarity,"Very high — 10M+ existing subscribers, 7 years of word-of-mouth, extensive media coverage","Low-moderate — Amazon brand is trusted broadly, but 'Leo'/'Kuiper' name recognition is near zero among consumers",Familiarity reduces perceived risk in a high-cost, hard-to-reverse purchase decision
social_proof,"Strong — reviews, YouTube unboxings, rural community adoption stories, 7 years of public track record","None yet — zero consumer reviews, zero installed base to reference",New entrants without social proof must compete on price or exclusive access, not reputation
switching_costs_for_existing_customers,High hardware sunk cost ($349) creates lock-in for current subscribers,Must overcome existing Starlink hardware sunk cost to win switchers,Amazon Leo's early addressable market is mostly new-to-category or badly-served Starlink customers
perceived_risk_of_new_provider,Low (proven reliability data publicly available),"Higher — no publicly available uptime, latency, or customer service track record",Classic uncertainty-reduction problem for any second mover
existing_infrastructure_advantage,Massive constellation enables broad simultaneous coverage claims,"Limited coverage until ~578 satellites reached; Amazon has said this is required for continuous service across initial latitudes",Coverage claims are not yet verifiable for Leo in most target markets
ecosystem_bundling_potential,Standalone service; some Tesla/SpaceX cross-marketing,Potential to bundle with Amazon Prime membership (unconfirmed but widely speculated),Bundling could be Amazon's strongest lever to overcome cold-start brand problem
pricing_transparency,"Fully published, tiered, publicly compared by review sites",Not yet announced as of July 2026,Uncertainty about price itself is a friction point until Amazon publishes rates
enterprise_credibility_signals,US government/DoD contracts; T-Mobile direct-to-cell partnership,"JetBlue, Delta, AT&T, Vodafone enterprise deals signal credibility before consumer launch",Amazon appears to be sequencing B2B trust-building ahead of B2C launch, mirroring Starlink's early aviation/maritime deals
distribution_and_retail_presence,"Direct-to-consumer online, some retail partnerships",Potential to leverage Amazon.com storefront and existing logistics/fulfillment network,"Amazon's retail distribution muscle is a structural advantage Starlink cannot easily replicate"
regulatory_risk_perception,Generally seen as on-track with FCC obligations,Requested FCC deadline extension; some public narrative about falling behind schedule,Public perception of program risk could suppress early sign-ups if not managed proactively
first_mover_vs_fast_follower_dynamic,First mover; defined the category and consumer expectations,Fast follower with the advantage of Starlink's proven demand and known objections to solve for,"Fast followers can win if they solve a specific known pain point Starlink has (e.g., congestion pricing, customer service)"
